date,IN_METAL_Q,T1_O2,METAL_Q,TEMPERATURE,IN_Q,MAX_CF,PROCESSPHASE_INLET,PROCESSPHASE_OUTLET,T1_NH4,T1_PO4,po4_rate
2021-08-01 00:00:00,0.0,0.027,0.007,16.112,1260.223,82.325,1.0,2.0,0.45,0.09,0.0
2021-08-01 00:02:00,33.42,0.0,0.007,16.087,750.6,76.598,2.0,2.0,0.4,0.11,0.020000000000000004
2021-08-01 00:04:00,0.0,0.0,0.007,16.081,985.699,73.796,2.0,2.0,0.4,0.11,0.0
2021-08-01 00:06:00,0.0,0.0,0.007,16.062,1410.721,75.523,2.0,1.0,0.2,0.09,-0.020000000000000004
2021-08-01 00:08:00,0.0,0.064,0.007,16.093,1129.143,74.262,2.0,1.0,0.2,0.09,0.0
2021-08-01 00:10:00,0.0,0.574,0.007,16.081,1244.319,74.279,2.0,1.0,0.2,0.09,0.0
2021-08-01 00:12:00,0.0,0.846,0.007,16.106,1435.348,76.205,2.0,1.0,0.13,0.07,-0.01999999999999999
2021-08-01 00:14:00,0.0,1.208,0.007,16.112,1460.624,78.191,1.0,1.0,0.13,0.07,0.0
2021-08-01 00:16:00,230.686,1.398,0.007,16.106,1001.226,75.384,1.0,1.0,0.32,0.08,0.009999999999999995
2021-08-01 00:18:00,0.0,0.845,0.007,16.055,1105.194,73.897,1.0,2.0,0.32,0.08,0.0
2021-08-01 00:20:00,0.0,0.03,0.007,16.055,1149.658,73.004,1.0,2.0,0.32,0.08,0.0
2021-08-01 00:22:00,0.0,0.0,0.007,16.055,1206.134,72.765,1.0,2.0,0.5,0.12,0.039999999999999994
2021-08-01 00:24:00,0.0,0.0,0.007,16.03,1177.041,72.259,1.0,2.0,0.5,0.12,0.0
2021-08-01 00:26:00,0.0,0.0,0.007,16.081,1190.64,71.94,2.0,2.0,0.34,0.11,-0.009999999999999995
2021-08-01 00:28:00,0.0,0.0,0.007,16.112,943.634,69.182,2.0,2.0,0.34,0.11,0.0
2021-08-01 00:30:00,0.0,0.007,0.007,16.087,952.981,66.794,2.0,1.0,0.34,0.11,0.0
2021-08-01 00:32:00,246.745,0.735,0.007,16.106,920.924,64.323,2.0,1.0,0.2,0.09,-0.020000000000000004
2021-08-01 00:34:00,0.0,1.642,0.007,16.081,1276.026,65.651,2.0,1.0,0.2,0.09,0.0
2021-08-01 00:36:00,0.0,1.861,0.007,16.182,1297.764,67.064,2.0,1.0,0.13,0.07,-0.01999999999999999
2021-08-01 00:38:00,0.0,1.633,0.007,16.138,1465.824,70.016,1.0,1.0,0.13,0.07,0.0
2021-08-01 00:40:00,0.0,1.084,0.007,16.093,1552.699,73.541,1.0,1.0,0.21,0.07,0.0
2021-08-01 00:42:00,0.0,0.652,0.007,16.138,1116.585,72.353,1.0,2.0,0.37,0.08,0.009999999999999995
2021-08-01 00:44:00,0.0,0.226,0.007,16.062,1293.574,73.053,1.0,2.0,0.38,0.08,0.0
